Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
2,-2.166071663725054,-1.7224310078402045,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.7415807321170562,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.0074196147534717,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.894102534695005,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.6153607059474973,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.0155514532053407,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.0700158832290216,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.8654905599160432,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.8651828187221235,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.7918461904443694,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-1.8882324386900557,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.9532872309915201,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9154259700492071,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725055,-1.550495301307961,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-1.6129751147776905,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9872515121739982,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-2.0334673557422906,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725054,-2.084310205010213,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9294904411463236,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.8697153008819192,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.0469724035197787,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725055,-1.8503591096036596,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.7786116094331739,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.4798056692329382,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6296148168361286,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.9305352786157992,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-2.0162750778983365,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.663135622949821,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.124706814131198,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.814211422488541,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-2.1640927345665553,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.5557772787591237,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.6784545170470266,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9771888976094212,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725055,-2.03587742963337,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.981161014535787,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250497,-2.044456242913514,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.018229450878494,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.8267428664300673,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
